paper_id,class_label,degree
35,Genetic_Algorithms,166
40,Genetic_Algorithms,3
114,Reinforcement_Learning,42
117,Reinforcement_Learning,17
128,Reinforcement_Learning,4
130,Reinforcement_Learning,3
164,Theory,0
288,Reinforcement_Learning,2
424,Rule_Learning,3
434,Reinforcement_Learning,1
463,Case_Based,1
504,Probabilistic_Methods,4
506,Probabilistic_Methods,3
887,Genetic_Algorithms,27
906,Neural_Networks,7
910,Neural_Networks,41
936,Case_Based,8
940,Case_Based,3
941,Case_Based,5
943,Case_Based,3
1026,Genetic_Algorithms,5
1033,Genetic_Algorithms,2
1034,Genetic_Algorithms,1
1035,Reinforcement_Learning,3
1213,Rule_Learning,3
1237,Neural_Networks,4
1246,Reinforcement_Learning,5
1272,Theory,32
1365,Neural_Networks,74
1385,Neural_Networks,0
1481,Case_Based,16
1688,Genetic_Algorithms,15
1694,Genetic_Algorithms,1
1717,Probabilistic_Methods,5
1786,Rule_Learning,1
1817,Genetic_Algorithms,1
1919,Probabilistic_Methods,2
1949,Case_Based,2
1951,Case_Based,1
1952,Case_Based,4
1953,Case_Based,4
1955,Case_Based,4
1956,Case_Based,8
1959,Case_Based,10
1997,Probabilistic_Methods,9
1999,Theory,5
2354,Theory,7
2440,Rule_Learning,30
2653,Theory,18
2654,Theory,13
2658,Neural_Networks,17
2663,Neural_Networks,1
2665,Neural_Networks,28
2695,Neural_Networks,4
2696,Neural_Networks,17
2698,Neural_Networks,5
2702,Neural_Networks,4
3084,Case_Based,3
3085,Case_Based,6
3095,Case_Based,4
3097,Case_Based,5
3101,Case_Based,4
3112,Case_Based,8
3187,Probabilistic_Methods,5
3191,Probabilistic_Methods,15
3192,Probabilistic_Methods,8
3217,Theory,5
3218,Rule_Learning,15
3220,Neural_Networks,17
3222,Case_Based,6
3223,Theory,5
3229,Neural_Networks,61
3231,Theory,32
3232,Theory,7
3233,Probabilistic_Methods,9
3235,Probabilistic_Methods,2
3236,Theory,5
3237,Probabilistic_Methods,1
3240,Theory,6
3243,Theory,12
3828,Case_Based,4
3932,Case_Based,1
4274,Case_Based,3
4329,Probabilistic_Methods,7
4330,Probabilistic_Methods,38
4335,Probabilistic_Methods,16
4553,Rule_Learning,1
4584,Reinforcement_Learning,32
4637,Theory,1
4649,Rule_Learning,9
4660,Theory,4
4804,Theory,14
4878,Case_Based,1
4983,Genetic_Algorithms,1
5038,Theory,0
5055,Theory,6
5062,Case_Based,5
5064,Case_Based,7
5069,Case_Based,3
5075,Case_Based,3
5086,Probabilistic_Methods,11
5194,Neural_Networks,5
5348,Neural_Networks,15
5454,Neural_Networks,3
5462,Neural_Networks,4
5600,Case_Based,5
5869,Neural_Networks,2
5959,Case_Based,4
5966,Genetic_Algorithms,8
6125,Theory,5
6130,Neural_Networks,5
6151,Reinforcement_Learning,9
6152,Reinforcement_Learning,1
6155,Reinforcement_Learning,1
6163,Reinforcement_Learning,8
6169,Reinforcement_Learning,6
6170,Reinforcement_Learning,0
6184,Reinforcement_Learning,8
6196,Reinforcement_Learning,6
6209,Reinforcement_Learning,11
6210,Reinforcement_Learning,1
6213,Reinforcement_Learning,76
6214,Reinforcement_Learning,28
6215,Reinforcement_Learning,2
6216,Reinforcement_Learning,6
6217,Reinforcement_Learning,0
6220,Reinforcement_Learning,3
6224,Reinforcement_Learning,3
6238,Theory,4
6311,Theory,4
6318,Case_Based,4
6334,Case_Based,13
6343,Case_Based,5
6344,Case_Based,2
6346,Case_Based,2
6378,Reinforcement_Learning,3
6385,Reinforcement_Learning,8
6539,Theory,1
6639,Rule_Learning,4
6741,Theory,9
6767,Case_Based,7
6771,Theory,1
6775,Neural_Networks,2
6782,Theory,2
6784,Neural_Networks,8
6786,Probabilistic_Methods,2
6814,Probabilistic_Methods,9
6818,Probabilistic_Methods,8
6898,Neural_Networks,6
6910,Neural_Networks,9
6913,Probabilistic_Methods,10
6917,Rule_Learning,2
6923,Rule_Learning,6
6925,Neural_Networks,5
6935,Rule_Learning,8
6939,Rule_Learning,1
6941,Rule_Learning,1
7022,Neural_Networks,0
7032,Probabilistic_Methods,5
7041,Neural_Networks,1
7047,Reinforcement_Learning,5
7272,Neural_Networks,4
7276,Neural_Networks,1
7296,Neural_Networks,1
7297,Neural_Networks,3
7419,Reinforcement_Learning,7
7430,Reinforcement_Learning,2
7432,Reinforcement_Learning,0
7532,Neural_Networks,6
7537,Neural_Networks,7
7867,Case_Based,2
8079,Theory,7
8213,Reinforcement_Learning,0
8224,Theory,25
8581,Neural_Networks,5
8591,Rule_Learning,4
